/homes/as3159/.local/lib/python3.6/site-packages/torch/nn/modules/container.py:141: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Torchviz was not found.
Current task: 0
Epoch: 0063 cost= 0.238399982
Epoch: 0064 cost= 0.224853322
Epoch: 0065 cost= 0.228222013
Epoch: 0066 cost= 0.225948930
Epoch: 0067 cost= 0.234125942
Epoch: 0068 cost= 0.221478775
Epoch: 0069 cost= 0.228144854
Epoch: 0070 cost= 0.221149474
Epoch: 0071 cost= 0.225784376
Epoch: 0072 cost= 0.222568870
Epoch: 0073 cost= 0.224406511
Epoch: 0074 cost= 0.240959883
Epoch: 0075 cost= 0.224418640
Epoch: 0076 cost= 0.224473223
Epoch: 0077 cost= 0.222200111
Epoch: 0078 cost= 0.216843307
Epoch: 0079 cost= 0.220369563
Epoch: 0080 cost= 0.233176082
Epoch: 0081 cost= 0.218951315
Epoch: 0082 cost= 0.220718116
Epoch: 0083 cost= 0.225717902
Epoch: 0084 cost= 0.228577733
Epoch: 0085 cost= 0.232893825
Epoch: 0086 cost= 0.222428545
Epoch: 0087 cost= 0.219345719
Epoch: 0088 cost= 0.223637491
Epoch: 0089 cost= 0.215187639
Epoch: 0090 cost= 0.220193356
Epoch: 0091 cost= 0.222482428
Epoch: 0092 cost= 0.219517529
Epoch: 0093 cost= 0.230772093
Epoch: 0094 cost= 0.219335735
Epoch: 0095 cost= 0.225355953
Epoch: 0096 cost= 0.219634131
Epoch: 0097 cost= 0.212492719
Epoch: 0098 cost= 0.216682002
Epoch: 0099 cost= 0.210505903
Epoch: 0100 cost= 0.217205569
Epoch: 0101 cost= 0.221474305
Epoch: 0102 cost= 0.213839978
Epoch: 0103 cost= 0.222390562
Epoch: 0104 cost= 0.217605144
Epoch: 0105 cost= 0.222223490
Epoch: 0106 cost= 0.220212877
Epoch: 0107 cost= 0.221065104
Epoch: 0108 cost= 0.214930788
Epoch: 0109 cost= 0.211901516
Epoch: 0110 cost= 0.225074083
Epoch: 0111 cost= 0.217070341
Epoch: 0112 cost= 0.211140573
Epoch: 0113 cost= 0.226138473
Epoch: 0114 cost= 0.222630739
Epoch: 0115 cost= 0.237619042
Epoch: 0116 cost= 0.221953556
Epoch: 0117 cost= 0.220179647
Epoch: 0118 cost= 0.214049459
Epoch: 0119 cost= 0.232888535
Epoch: 0120 cost= 0.214922279
Optimization Finished!
updating prior...
Saving weights before core set training
Accuracy is 0.9995271867612293
Accuracy is 0.9696376101860921
Accuracy is 0.9951974386339381
Reloading previous weights after core set training
creating a new head
Current task: 3
Epoch: 0001 cost= 1.041759014
Epoch: 0002 cost= 0.790245116
Epoch: 0003 cost= 0.713681340
Epoch: 0004 cost= 0.469407499
Epoch: 0005 cost= 0.447012335
Epoch: 0006 cost= 0.309244335
Epoch: 0007 cost= 0.286204576
Epoch: 0008 cost= 0.275213450
Epoch: 0009 cost= 0.242132306
Epoch: 0010 cost= 0.224047571
Epoch: 0011 cost= 0.226554751
Epoch: 0012 cost= 0.218490973
Epoch: 0013 cost= 0.222170696
Epoch: 0014 cost= 0.220789939
Epoch: 0015 cost= 0.220625579
Epoch: 0016 cost= 0.224294648
Epoch: 0017 cost= 0.225059539
Epoch: 0018 cost= 0.221297428
Epoch: 0019 cost= 0.220863879
Epoch: 0020 cost= 0.223952502
Epoch: 0021 cost= 0.221406952
Epoch: 0022 cost= 0.220319793
Epoch: 0023 cost= 0.221743703
Epoch: 0024 cost= 0.220040634
Epoch: 0025 cost= 0.218082517
Epoch: 0026 cost= 0.215574548
Epoch: 0027 cost= 0.213381216
Epoch: 0028 cost= 0.214204863
Epoch: 0029 cost= 0.209274977
Epoch: 0030 cost= 0.206164539
Epoch: 0031 cost= 0.203640610
Epoch: 0032 cost= 0.202343002
Epoch: 0033 cost= 0.200937122
Epoch: 0034 cost= 0.198078424
Epoch: 0035 cost= 0.196122274
Epoch: 0036 cost= 0.194577694
Epoch: 0037 cost= 0.190409347
Epoch: 0038 cost= 0.188672110
Epoch: 0039 cost= 0.188567474
Epoch: 0040 cost= 0.184854388
Epoch: 0041 cost= 0.184006810
Epoch: 0042 cost= 0.180943683
Epoch: 0043 cost= 0.180058032
Epoch: 0044 cost= 0.182777002
Epoch: 0045 cost= 0.176950380
Epoch: 0046 cost= 0.176796496
Epoch: 0047 cost= 0.174570560
Epoch: 0048 cost= 0.173200652
Epoch: 0049 cost= 0.172220558
Epoch: 0050 cost= 0.178405255
Epoch: 0051 cost= 0.174121723
Epoch: 0052 cost= 0.170540512
Epoch: 0053 cost= 0.172630608
Epoch: 0054 cost= 0.168491453
Epoch: 0055 cost= 0.168055773
Epoch: 0056 cost= 0.169356063
Epoch: 0057 cost= 0.167751417
Epoch: 0058 cost= 0.166608781
Epoch: 0059 cost= 0.164912015
Epoch: 0060 cost= 0.164777532
Epoch: 0061 cost= 0.163946703
Epoch: 0062 cost= 0.171026394
Epoch: 0063 cost= 0.162800312
Epoch: 0064 cost= 0.163624257
Epoch: 0065 cost= 0.163378119
Epoch: 0066 cost= 0.165100902
Epoch: 0067 cost= 0.159669220
Epoch: 0068 cost= 0.164483845
Epoch: 0069 cost= 0.162513092
Epoch: 0070 cost= 0.159233958
Epoch: 0071 cost= 0.161347702
Epoch: 0072 cost= 0.160587952
Epoch: 0073 cost= 0.158240572
Epoch: 0074 cost= 0.157244861
Epoch: 0075 cost= 0.160752684
Epoch: 0076 cost= 0.162813589
Epoch: 0077 cost= 0.161187366
Epoch: 0078 cost= 0.163455203
Epoch: 0079 cost= 0.161295176
Epoch: 0080 cost= 0.158262298
Epoch: 0081 cost= 0.159584299
Epoch: 0082 cost= 0.160370186
Epoch: 0083 cost= 0.156819925
Epoch: 0084 cost= 0.158136800
Epoch: 0085 cost= 0.160015389
Epoch: 0086 cost= 0.158142924
Epoch: 0087 cost= 0.154711217
Epoch: 0088 cost= 0.159592584
Epoch: 0089 cost= 0.156642199
Epoch: 0090 cost= 0.157264560
Epoch: 0091 cost= 0.158683747
Epoch: 0092 cost= 0.158366024
Epoch: 0093 cost= 0.155480757
Epoch: 0094 cost= 0.155615687
Epoch: 0095 cost= 0.154305011
Epoch: 0096 cost= 0.163301438
Epoch: 0097 cost= 0.158962354
Epoch: 0098 cost= 0.157906219
Epoch: 0099 cost= 0.153974175
Epoch: 0100 cost= 0.166841075
Epoch: 0101 cost= 0.157984659
Epoch: 0102 cost= 0.162973404
Epoch: 0103 cost= 0.163884088
Epoch: 0104 cost= 0.157687813
Epoch: 0105 cost= 0.159021929
Epoch: 0106 cost= 0.159574524
Epoch: 0107 cost= 0.158632472
Epoch: 0108 cost= 0.161818892
Epoch: 0109 cost= 0.153046191
Epoch: 0110 cost= 0.156656355
Epoch: 0111 cost= 0.152417392
Epoch: 0112 cost= 0.154970571
Epoch: 0113 cost= 0.155811831
Epoch: 0114 cost= 0.155619293
Epoch: 0115 cost= 0.158464283
Epoch: 0116 cost= 0.152960569
Epoch: 0117 cost= 0.153274179
Epoch: 0118 cost= 0.155849189
Epoch: 0119 cost= 0.156707048
Epoch: 0120 cost= 0.160919160
Optimization Finished!
updating prior...
Saving weights before core set training
Accuracy is 0.9995271867612293
Accuracy is 0.9686581782566112
Accuracy is 0.9925293489861259
Accuracy is 0.9964753272910373
Reloading previous weights after core set training
creating a new head
Current task: 4
Epoch: 0001 cost= 1.387629747
Epoch: 0002 cost= 0.969882011
Epoch: 0003 cost= 0.906170011
Epoch: 0004 cost= 0.811472058
Epoch: 0005 cost= 0.605908871
Epoch: 0006 cost= 0.634707034
Epoch: 0007 cost= 0.580416381
Epoch: 0008 cost= 0.605884016
Epoch: 0009 cost= 0.423030257
Epoch: 0010 cost= 0.385272503
Epoch: 0011 cost= 0.392307937
Epoch: 0012 cost= 0.364189148
Epoch: 0013 cost= 0.336153567
Epoch: 0014 cost= 0.315439999
Epoch: 0015 cost= 0.343319535
Epoch: 0016 cost= 0.334918886
Epoch: 0017 cost= 0.307215869
Epoch: 0018 cost= 0.327367008
Epoch: 0019 cost= 0.306154549
Epoch: 0020 cost= 0.327703178
Epoch: 0021 cost= 0.317423522
Epoch: 0022 cost= 0.296499938
Epoch: 0023 cost= 0.304231167
Epoch: 0024 cost= 0.332065821
Epoch: 0025 cost= 0.298758000
Epoch: 0026 cost= 0.304166824
Epoch: 0027 cost= 0.304623276
Epoch: 0028 cost= 0.289280474
Epoch: 0029 cost= 0.291933179
Epoch: 0030 cost= 0.291039675
Epoch: 0031 cost= 0.292392373
Epoch: 0032 cost= 0.286487311
Epoch: 0033 cost= 0.285007745
Epoch: 0034 cost= 0.283128709
Epoch: 0035 cost= 0.271692246
Epoch: 0036 cost= 0.276239574
Epoch: 0037 cost= 0.265723765
Epoch: 0038 cost= 0.271103621
Epoch: 0039 cost= 0.271340013
Epoch: 0040 cost= 0.264199466
Epoch: 0041 cost= 0.269467622
Epoch: 0042 cost= 0.266988873
Epoch: 0043 cost= 0.264023930
Epoch: 0044 cost= 0.263186276
Epoch: 0045 cost= 0.273194432
Epoch: 0046 cost= 0.265842617
Epoch: 0047 cost= 0.268116295
Epoch: 0048 cost= 0.255605429
Epoch: 0049 cost= 0.265780687
Epoch: 0050 cost= 0.268075615
Epoch: 0051 cost= 0.247807041
Epoch: 0052 cost= 0.252820611
Epoch: 0053 cost= 0.253563970
Epoch: 0054 cost= 0.247605056
Epoch: 0055 cost= 0.248410136
Epoch: 0056 cost= 0.242405385
Epoch: 0057 cost= 0.252528101
Epoch: 0058 cost= 0.251713187
Epoch: 0059 cost= 0.250239283
Epoch: 0060 cost= 0.253648579
Epoch: 0061 cost= 0.231805012
Epoch: 0062 cost= 0.234836847
Epoch: 0063 cost= 0.241032183
Epoch: 0064 cost= 0.236925811
Epoch: 0065 cost= 0.238009140
Epoch: 0066 cost= 0.251661271
Epoch: 0067 cost= 0.239520565
Epoch: 0068 cost= 0.244544238
Epoch: 0069 cost= 0.232912570
Epoch: 0070 cost= 0.234489515
Epoch: 0071 cost= 0.241896451
Epoch: 0072 cost= 0.254113942
Epoch: 0073 cost= 0.245286554
Epoch: 0074 cost= 0.251101315
Epoch: 0075 cost= 0.240833908
Epoch: 0076 cost= 0.249198586
Epoch: 0077 cost= 0.241339311
Epoch: 0078 cost= 0.227992833
