/homes/as3159/.local/lib/python3.6/site-packages/torch/nn/modules/container.py:141: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Torchviz was not found.
Current task: 0
Epoch: 0062 cost= 0.302429765
Epoch: 0063 cost= 0.283779025
Epoch: 0064 cost= 0.300122470
Epoch: 0065 cost= 0.299284577
Epoch: 0066 cost= 0.291971594
Epoch: 0067 cost= 0.283057451
Epoch: 0068 cost= 0.286040962
Epoch: 0069 cost= 0.281665474
Epoch: 0070 cost= 0.281732976
Epoch: 0071 cost= 0.290100157
Epoch: 0072 cost= 0.275587738
Epoch: 0073 cost= 0.295935035
Epoch: 0074 cost= 0.296579421
Epoch: 0075 cost= 0.291676521
Epoch: 0076 cost= 0.299643815
Epoch: 0077 cost= 0.284741431
Epoch: 0078 cost= 0.284815550
Epoch: 0079 cost= 0.265351623
Epoch: 0080 cost= 0.282969832
Epoch: 0081 cost= 0.286012053
Epoch: 0082 cost= 0.283845365
Epoch: 0083 cost= 0.278312504
Epoch: 0084 cost= 0.282607794
Epoch: 0085 cost= 0.273777783
Epoch: 0086 cost= 0.279159904
Epoch: 0087 cost= 0.293589771
Epoch: 0088 cost= 0.294817120
Epoch: 0089 cost= 0.267407537
Epoch: 0090 cost= 0.284691334
Epoch: 0091 cost= 0.274923027
Epoch: 0092 cost= 0.263930500
Epoch: 0093 cost= 0.271984637
Epoch: 0094 cost= 0.266888112
Epoch: 0095 cost= 0.274397075
Epoch: 0096 cost= 0.274772406
Epoch: 0097 cost= 0.275906265
Epoch: 0098 cost= 0.267150462
Epoch: 0099 cost= 0.274368525
Epoch: 0100 cost= 0.290911734
Epoch: 0101 cost= 0.269684315
Epoch: 0102 cost= 0.263434500
Epoch: 0103 cost= 0.265230894
Epoch: 0104 cost= 0.284283161
Epoch: 0105 cost= 0.280652881
Epoch: 0106 cost= 0.278472066
Epoch: 0107 cost= 0.275508881
Epoch: 0108 cost= 0.287747711
Epoch: 0109 cost= 0.288709402
Epoch: 0110 cost= 0.293568850
Epoch: 0111 cost= 0.275060475
Epoch: 0112 cost= 0.271746218
Epoch: 0113 cost= 0.268709600
Epoch: 0114 cost= 0.281218529
Epoch: 0115 cost= 0.302317202
Epoch: 0116 cost= 0.270505488
Epoch: 0117 cost= 0.264444232
Epoch: 0118 cost= 0.276914686
Epoch: 0119 cost= 0.299564838
Epoch: 0120 cost= 0.279039860
Optimization Finished!
updating prior...
